Gene1,Gene2,EdgeWeight
OTX2,KIAA1324L,4.2351737
OTX2,TRAF6,3.5437768
OTX2,CBX3,3.4505525
MXI1,ZNF165,3.271449
OTX2,PHLDB2,3.148223
TEAD4,KIAA1324L,3.1318517
MXI1,WDHD1,3.1279588
KLF5,ZNF202,3.1266947
STAT3,HIF1A,2.8925638
CTNNB1,ASXL1,2.793151
TEAD4,ASXL1,2.7855048
OTX2,PNPLA8,2.7009406
MXI1,MIA3,2.6814203
STAT3,MECOM,2.6341343
STAT3,ETV4,2.6213608
MXI1,WDR12,2.5847158
STAT3,FUBP1,2.5699937
MXI1,WLS,2.4668784
MXI1,SF1,2.4453452
STAT3,FER,2.416793
TFAP2A,SMAD5,2.4158945
JUND,RHOBTB3,2.3606749
MXI1,KIAA1324L,2.3483841
CTNNB1,HMGN2,2.3425488
FOXP1,PURA,2.321649
TP53,FOXN3,2.286682
OTX2,FUBP1,2.2607567
PRDM1,MCM4,2.2455115
FOXP1,HNRNPD,2.2333312
MXI1,SNX18,2.1788063
TEAD4,SLC39A11,2.1689062
PRDM1,RNPS1,2.1665668
TFAP2A,CEP55,2.1579986
MXI1,ARID3B,2.1294234
MXI1,ETS1,2.108214
STAT3,PRDM1,2.1072013
MXI1,NCAM1,2.1036148
CTNNB1,ETV1,2.081329
TFAP2A,CDC7,2.0647888
STAT3,KLHL12,2.0544581
GATA6,BUB1B,2.0472655
JUND,SATB1,2.037199
OTX2,WDHD1,2.022645
TEAD4,HESX1,2.0144696
OTX2,ZNF764,2.0103655
TCF4,FOXD3,2.005825
OTX2,SEMA6A,1.9915648
FOXP1,PPM1H,1.9792577
PRDM1,RBPJ,1.9790697
MXI1,TMEM64,1.970408
TFAP2A,CSDE1,1.9609935
TFAP2A,AMN1,1.9151957
CTNNB1,TRAF6,1.9115491
TFAP2A,SF1,1.901077
TEAD4,TMF1,1.8998734
FOXP1,JUND,1.8960481
TEAD4,CCNE2,1.8752959
MXI1,ETV3,1.8725357
JUND,MAML3,1.8662686
MXI1,SNAPC3,1.8646421
MXI1,PPM1H,1.8645209
OTX2,ASXL1,1.8598917
MXI1,POLR2H,1.8526489
FOXP1,SALL2,1.8502371
OTX2,TMSB15B,1.8477535
OTX2,KLHL12,1.8434131
TFAP2A,ZNF589,1.8425303
KLF5,PAWR,1.8412292
TCF4,DKK1,1.8400714
TFAP2A,RAI14,1.819558
TP53,CSDE1,1.8040931
TFAP2A,TIPARP,1.8004239
CTNNB1,SRSF1,1.7970182
MXI1,SLC39A8,1.7952054
TP53,CA2,1.7932107
TFAP2A,KAT6A,1.7892263
MXI1,RAI14,1.7824135
CTNNB1,RGPD2,1.7814281
STAT3,NCAM1,1.780048
TEAD4,PHB2,1.7741195
STAT3,TEAD1,1.7657087
MXI1,CPE,1.7395983
CTNNB1,KIAA1324L,1.7360145
STAT3,ZNF202,1.735649
MXI1,ACOX3,1.7316965
OTX2,RBFOX2,1.731143
PRDM1,RFC3,1.7303118
TFAP2A,CHAF1A,1.7194917
TEAD4,TBX3,1.7166464
NANOG,ARHGAP42,1.7125199
MXI1,NOC3L,1.7117484
JUND,FOXP1,1.7115033
TEAD4,ANKRD13C,1.7110312
FOXP1,STAT2,1.7104783
TEAD4,PMAIP1,1.7098008
KLF5,SLC35F1,1.7090054
JUND,FER,1.7040999
TEAD4,RGPD2,1.7021899
PRDM1,STAT3,1.701916
OTX2,TEAD4,1.6943069
